metric,value
accuracy_Llama-3.1-8B-Instruct,0.6333333333333333
accuracy_Mistral-7B-Instruct-v0.3,0.6333333333333333
accuracy_Qwen2.5-7B-Instruct,0.6333333333333333
majority_accuracy,0.86
yajie_high_consensus_accuracy,0.9047619047619048
yajie_low_consensus_accuracy,0.7837837837837838
consensus_accuracy_gap,0.120978120978121
clean_fraction,0.16
noisy_fraction,0.09
ambiguous_fraction,0.75
oracle_accuracy,0.6875
full_consensus_accuracy,1.0
n_full_consensus,25.0
consensus_vs_accuracy_correlation,-0.026874516488264576
